[2025-09-09 12:18:46] [INFO    ] discord.client: logging in using static token
[2025-09-09 12:18:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Joscka Cadel', 'primary_guild': None, 'mfa_enabled': False, 'id': '1414784639498850358', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3284', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '9ca2c4aba60f3c1b4b8f3325d17fb704', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1414786329698635788'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'singapore', 'hongkong', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1414784639498850358', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-8195",{"micros":312591,"calls":["id_created",{"micros":721,"calls":[]},"session_lookup_time",{"micros":4002,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-134",{"micros":307630,"calls":["start_session",{"micros":260293,"calls":["discord-api-rpc-548b7d7b58-mxm5d",{"micros":201791,"calls":["get_user",{"micros":22301},"get_guilds",{"micros":28966},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":6},"pending_payments",{"micros":31094},"apex_experiments",{"micros":17539},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":20181,"calls":[]},"guilds_started",{"micros":120,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":26983,"calls":[]},"connect_finished",{"micros":26987,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-09 12:18:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:18:48] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9ca2c4aba60f3c1b4b8f3325d17fb704).
[2025-09-09 12:18:48] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-09 12:18:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_features': None, 'voice_states': [], 'preferred_locale': 'en-US', 'incidents_data': None, 'profile': None, 'afk_channel_id': None, 'activity_instances': [], 'system_channel_id': '1414786330461995162', 'max_video_channel_users': 25, 'max_members': 25000000, 'member_count': 2, 'guild_scheduled_events': [], 'members': [{'user': {'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'id': '1414784639498850358', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3284', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1414786464742641698'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:36:18.733599+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'vanity_url_code': None, 'premium_progress_bar_enabled': False, 'application_command_counts': {}, 'id': '1414786329698635788', 'moderator_reporting': None, 'stage_instances': [], 'afk_timeout': 300, 'region': 'deprecated', 'name': 'io bot server', 'soundboard_sounds': [], 'icon': None, 'threads': [], 'banner': None, 'features': [], 'description': None, 'lazy': True, 'default_message_notifications': 0, 'discovery_splash': None, 'splash': None, 'max_stage_video_channel_users': 50, 'premium_tier': 0, 'application_id': None, 'mfa_level': 0, 'safety_alerts_channel_id': None, 'home_header': None, 'rules_channel_id': None, 'roles': [{'version': 1757381746637, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1414786329698635788', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757381778717, 'unicode_emoji': None, 'tags': {'bot_id': '1414784639498850358'}, 'position': 1, 'permissions': '326686338112', 'name': 'Joscka Cadel', 'mentionable': False, 'managed': True, 'id': '1414786464742641698', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'large': False, 'owner_id': '523100845987069974', 'channels': [{'version': 1757381746650, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1414786330461995160', 'flags': 0}, {'version': 1757381746668, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1414786330461995161', 'flags': 0}, {'version': 1757381746677, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1414786330461995160', 'name': 'general', 'last_message_id': '1414795288094183537', 'id': '1414786330461995162', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1757381746684, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1414786330461995161', 'name': 'General', 'last_message_id': None, 'id': '1414786330461995163', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'unavailable': False, 'embedded_activities': [], 'emojis': [], 'system_channel_flags': 0, 'presences': [], 'nsfw': False, 'owner_configured_content_level': 0, 'inventory_settings': None, 'joined_at': '2025-09-09T01:36:18.733599+00:00', 'public_updates_channel_id': None, 'explicit_content_filter': 0, 'latest_onboarding_question_id': None, 'version': 1757381746687, 'hub_type': None, 'stickers': [], 'verification_level': 0, 'nsfw_level': 0}}
[2025-09-09 12:18:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:18:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '683ca0285992bebf481dd60d49d7c30b', 'members': [{'user': {'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'display_name': 'io', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:35:46.548000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'id': '1414784639498850358', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3284', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1414786464742641698'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:36:18.733599+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1414786329698635788', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-09 12:18:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:18:48] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1414786329698635788.
[2025-09-09 12:18:50] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-09 12:18:50] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-09 12:18:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '523100845987069974', 'timestamp': 1757384335, 'member': {'user': {'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'display_name': 'io', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:35:46.548000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1414786330461995162', 'guild_id': '1414786329698635788'}}
[2025-09-09 12:18:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:18:55] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-09 12:18:55] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-09 12:18:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-09T02:18:58.791000+00:00', 'pinned': False, 'nonce': '1414797201212702720', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:35:46.548000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1414797202726981652', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!dm abracadabra', 'components': [], 'channel_type': 0, 'channel_id': '1414786330461995162', 'author': {'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}, 'attachments': [], 'guild_id': '1414786329698635788'}}
[2025-09-09 12:18:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:18:58] [DEBUG   ] discord.client: Dispatching event message
[2025-09-09 12:18:58] [DEBUG   ] discord.client: Dispatching event command
[2025-09-09 12:18:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":523100845987069974} has returned 200
[2025-09-09 12:18:59] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-09-09 12:18:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1414797204278738985', 'type': 1, 'last_message_id': None, 'flags': 0, 'recipients': [{'id': '523100845987069974', 'username': 'galdbarlic', 'avatar': 'fab263e17d09051571050425bfb4e223', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1714222, 'global_name': 'io', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#1a282e', 'clan': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'primary_guild': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}}]}
[2025-09-09 12:19:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-09T02:19:01.582000+00:00', 'pinned': False, 'nonce': '18296562905872785705', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1414797214433280150', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'ablacadabla', 'components': [], 'channel_type': 1, 'channel_id': '1414797204278738985', 'author': {'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'id': '1414784639498850358', 'global_name': None, 'display_name_styles': None, 'discriminator': '3284', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}}
[2025-09-09 12:19:01] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:19:01] [DEBUG   ] discord.client: Dispatching event message
[2025-09-09 12:19:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1414797204278738985/messages with {"content":"ablacadabla","components":[],"nonce":"18296562905872785705","enforce_nonce":true,"tts":false} has returned 200
[2025-09-09 12:19:02] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-09 12:19:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1414797204278738985/messages has received {'type': 0, 'content': 'ablacadabla', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-09T02:19:01.582000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1414797214433280150', 'channel_id': '1414797204278738985', 'author': {'id': '1414784639498850358', 'username': 'Joscka Cadel', 'avatar': None, 'discriminator': '3284', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '18296562905872785705'}
[2025-09-09 12:19:02] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-09 12:19:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-09 12:19:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-09 12:20:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-09 12:20:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-09 12:20:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-09T02:20:37.879000+00:00', 'pinned': False, 'nonce': '1414797617283465216', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:35:46.548000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1414797618332303381', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'kontol', 'components': [], 'channel_type': 0, 'channel_id': '1414786330461995162', 'author': {'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}, 'attachments': [], 'guild_id': '1414786329698635788'}}
[2025-09-09 12:20:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:20:37] [DEBUG   ] discord.client: Dispatching event message
[2025-09-09 12:20:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-09-09T02:20:38.308000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2025-09-09T02:20:37.879000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1414797618332303381', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'kontol', 'components': [], 'channel_id': '1414786330461995162', 'author': {'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}, 'attachments': []}, 'pinned': False, 'nonce': '12735067741140154063', 'message_reference': {'type': 0, 'message_id': '1414797618332303381', 'guild_id': '1414786329698635788', 'channel_id': '1414786330461995162'}, 'mentions': [{'username': 'galdbarlic', 'public_flags': 64, 'primary_guild': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:35:46.548000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '523100845987069974', 'global_name': 'io', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Tree', 'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'avatar_decoration_data': None, 'avatar': 'fab263e17d09051571050425bfb4e223'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1414786464742641698'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:36:18.733599+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1414797620131401759', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'kontol', 'components': [], 'channel_type': 0, 'channel_id': '1414786330461995162', 'author': {'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'id': '1414784639498850358', 'global_name': None, 'display_name_styles': None, 'discriminator': '3284', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1414786329698635788'}}
[2025-09-09 12:20:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:20:38] [DEBUG   ] discord.client: Dispatching event message
[2025-09-09 12:20:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1414786330461995162/messages with {"content":"kontol","components":[],"nonce":"12735067741140154063","enforce_nonce":true,"message_reference":{"message_id":1414797618332303381,"channel_id":1414786330461995162,"guild_id":1414786329698635788},"tts":false} has returned 200
[2025-09-09 12:20:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1414786330461995162/messages has received {'type': 19, 'content': 'kontol', 'mentions': [{'id': '523100845987069974', 'username': 'galdbarlic', 'avatar': 'fab263e17d09051571050425bfb4e223', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1714222, 'global_name': 'io', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#1a282e', 'clan': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'primary_guild': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-09T02:20:38.308000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1414797620131401759', 'channel_id': '1414786330461995162', 'author': {'id': '1414784639498850358', 'username': 'Joscka Cadel', 'avatar': None, 'discriminator': '3284', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '12735067741140154063', 'message_reference': {'type': 0, 'channel_id': '1414786330461995162', 'message_id': '1414797618332303381', 'guild_id': '1414786329698635788'}, 'referenced_message': {'type': 0, 'content': 'kontol', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-09T02:20:37.879000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1414797618332303381', 'channel_id': '1414786330461995162', 'author': {'id': '523100845987069974', 'username': 'galdbarlic', 'avatar': 'fab263e17d09051571050425bfb4e223', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'io', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}, 'primary_guild': {'identity_guild_id': '251072485095636994', 'identity_enabled': True, 'tag': 'Tree', 'badge': '0621ddb6e731ee8c344c43e40383e84b'}}, 'pinned': False, 'mention_everyone': False, 'tts': False}}
[2025-09-09 12:20:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-09 12:20:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-09 12:21:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-09 12:21:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-09 12:21:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'USER_UPDATE', 's': 9, 'op': 0, 'd': {'verified': True, 'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'premium_type': 0, 'premium_state': {'premium_subscription_type': 0, 'premium_source': 0}, 'mfa_enabled': False, 'locale': 'en-US', 'id': '1414784639498850358', 'global_name': None, 'flags': 0, 'email': None, 'display_name_styles': None, 'discriminator': '3284', 'collectibles': None, 'clan': None, 'bot': True, 'bio': '', 'banner_color': None, 'banner': None, 'avatar_decoration_data': None, 'avatar': 'afdf27f171791fa3513c5249006d8cc9', 'authenticator_types': [], 'accent_color': None}}
[2025-09-09 12:21:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:21:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 10, 'op': 0, 'd': {'user': {'username': 'Joscka Cadel', 'public_flags': 0, 'primary_guild': None, 'id': '1414784639498850358', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3284', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'afdf27f171791fa3513c5249006d8cc9'}, 'roles': ['1414786464742641698'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-09T01:36:18.733599+00:00', 'guild_id': '1414786329698635788', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}}
[2025-09-09 12:21:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-09 12:21:49] [DEBUG   ] discord.client: Dispatching event member_update
